Column1,Column2
prediction_3,label_3
31.136967,36.0
28.57445,15.0
31.288477,40.0
31.288477,3.0
31.451185,30.0
31.526136,64.0
31.605425,36.0
31.563272,3.0
30.488083,24.0
31.603401,40.0
31.136967,30.0
31.495415,16.0
31.602648,36.0
15.7344055,48.0
28.57445,32.0
19.677067,72.0
31.5478,56.0
19.677067,32.0
23.497772,24.0
23.497772,24.0
29.789509,28.800001
29.789509,30.0
31.288477,16.0
15.7344055,36.0
9.476635,32.0
31.600294,25.0
31.386211,8.0
31.136967,48.0
31.495415,72.0
29.789509,40.0
30.893702,24.0
31.288477,24.0
31.5478,36.0
31.526136,21.0
26.541754,24.0
31.288477,40.0
29.789509,40.0
31.136967,24.0
29.789509,42.0
19.677067,48.0
23.497772,24.0
30.893702,30.0
31.57442,20.0
26.541754,48.0
31.288477,30.0
31.288477,32.0
31.495415,28.0
29.789509,36.0
31.604734,40.0
30.488083,30.0
31.526136,32.0
31.563272,24.0
29.789509,26.033897
31.59286,24.0
30.488083,36.0
23.497772,32.0
31.451185,24.0
15.7344055,24.0
31.563272,32.0
31.563272,60.0
19.677067,48.0
31.526136,30.0
31.136967,40.0
19.677067,36.0
29.789509,32.0
31.59286,48.0
15.7344055,48.0
31.451185,8.0
26.541754,27.428572
31.526136,16.0
12.26206,30.0
19.677067,24.0
31.526136,36.0
31.563272,12.0
31.59286,32.0
31.495415,43.200001
29.789509,30.0
23.497772,24.0
29.789509,32.0
19.677067,32.0
30.488083,18.0
31.603973,30.0
28.57445,20.0
15.7344055,32.0
30.488083,64.0
31.386211,32.0
31.588484,36.0
23.497772,24.0
31.59286,8.0
28.57445,32.0
31.451185,3.0
26.541754,30.0
19.677067,16.0
28.57445,30.0
31.288477,24.0
30.893702,48.0
31.288477,48.0
31.5478,24.0
31.5478,36.0
26.541754,36.0
23.497772,32.0
28.57445,36.0
15.7344055,32.0
31.136967,96.0
31.588484,24.0
31.136967,40.0
29.789509,24.0
30.488083,25.0
31.136967,18.0
29.789509,40.0
23.497772,32.0
31.582542,4.0
31.526136,12.0
19.677067,24.0
23.497772,24.0
26.541754,32.0
31.563272,30.0
31.526136,28.0
31.136967,32.0
31.605316,64.0
31.288477,48.0
31.57442,6.0
26.541754,36.0
23.497772,24.0
31.386211,19.200001
31.601639,40.0
23.497772,16.0
31.526136,32.0
31.596102,18.0
23.497772,20.0
15.7344055,32.0
19.677067,16.0
19.677067,24.0
23.497772,30.0
29.789509,30.0
12.26206,25.0
31.59286,48.0
30.488083,24.0
19.677067,32.0
15.7344055,72.0
31.288477,64.0
31.5478,36.0
30.893702,24.0
26.541754,36.0
31.604984,32.0
19.677067,24.0
19.677067,32.0
31.526136,30.0
31.136967,40.0
29.789509,24.0
12.26206,36.0
31.526136,8.0
31.582542,30.0
31.495415,24.0
26.541754,12.0
31.451185,32.0
31.526136,30.0
30.893702,24.0
19.677067,32.0
31.136967,22.0
23.497772,36.0
23.497772,40.0
31.603401,16.0
19.677067,24.0
26.541754,24.0
31.588484,44.57143
30.893702,32.0
29.789509,30.0
29.789509,24.0
19.677067,24.0
31.59286,24.0
30.893702,32.0
31.288477,24.0
23.497772,48.0
31.495415,32.0
30.893702,16.0
31.59286,40.0
19.677067,48.0
31.5478,30.0
23.497772,24.0
30.488083,64.0
31.386211,6.0
29.789509,24.0
12.26206,24.0
31.495415,40.0
31.605793,40.0
31.57442,28.800001
26.541754,30.0
31.57442,18.0
19.677067,24.0
26.541754,36.0
19.677067,32.0
31.451185,32.0
31.136967,20.0
26.541754,24.0
28.57445,32.0
23.497772,32.0
31.495415,48.0
31.451185,32.0
19.677067,16.0
28.57445,30.0
31.526136,24.0
29.789509,48.0
19.677067,48.0
31.563272,32.0
29.789509,30.0
31.136967,48.0
30.488083,36.0
31.582542,24.0
19.677067,32.0
31.600294,56.0
31.588484,20.0
28.57445,30.0
19.677067,24.0
19.677067,48.0
29.789509,20.0
31.603973,24.0
23.497772,56.0
31.596102,35.0
31.136967,42.0
15.7344055,40.0
31.57442,28.0
28.57445,30.0
31.605574,36.0
28.57445,24.0
29.789509,24.0
26.541754,40.0
29.789509,32.0
30.488083,28.0
31.386211,20.0
29.789509,18.0
23.497772,36.0
31.588484,36.0
31.588484,48.0
23.497772,24.0
29.789509,36.0
19.677067,40.0
31.526136,4.0
15.7344055,38.400002
19.677067,32.0
15.7344055,24.0
31.288477,28.800001
31.600294,8.0
31.563272,24.0
30.893702,16.0
28.57445,24.0
31.288477,36.0
19.677067,36.0
31.288477,36.0
31.136967,32.0
31.59286,36.0
30.893702,20.0
31.136967,16.0
31.451185,40.0
31.602648,32.0
31.605692,18.0
31.495415,48.0
28.57445,40.0
19.677067,36.0
31.288477,2.0
31.603401,24.0
26.541754,36.0
31.386211,50.0
23.497772,24.0
23.497772,18.0
29.789509,24.0
31.604984,40.0
31.5478,20.0
31.526136,24.0
19.677067,48.0
31.288477,48.0
31.57442,24.0
29.789509,36.0
23.497772,24.0
31.596102,32.0
31.495415,24.0
15.7344055,36.0
31.136967,42.0
31.495415,25.0
31.59286,17.0
31.526136,36.0
23.497772,24.0
31.57442,30.0
19.677067,32.0
28.57445,32.0
31.5478,25.0
28.57445,48.0
29.789509,30.0
31.495415,30.0
31.5478,8.0
19.677067,36.0
31.598507,56.0
19.677067,48.0
23.497772,16.0
9.476635,30.0
31.386211,36.0
31.526136,30.0
23.497772,24.0
26.541754,24.0
19.677067,36.0
26.541754,24.0
23.497772,32.0
30.893702,32.0
26.541754,40.0
26.541754,72.0
31.451185,24.0
30.488083,24.0
30.488083,36.0
31.386211,25.0
26.541754,24.0
31.451185,24.0
23.497772,24.0
31.588484,24.0
31.60566,12.0
31.601639,19.200001
31.59286,40.0
28.57445,48.0
31.582542,16.0
31.5478,12.0
31.495415,48.0
26.541754,36.0
28.57445,24.0
30.893702,40.0
28.57445,22.0
31.59286,12.0
26.541754,24.0
15.7344055,30.0
31.526136,24.0
12.26206,30.0
23.497772,24.0
26.541754,24.0
31.386211,28.0
31.605795,36.0
23.497772,48.0
31.451185,16.0
30.488083,16.0
19.677067,24.0
31.603401,24.0
26.541754,24.0
19.677067,25.0
19.677067,24.0
28.57445,48.0
23.497772,48.0
19.677067,36.0
31.526136,64.0
31.59286,36.0
31.602648,32.0
23.497772,24.0
31.451185,40.0
31.563272,24.0
31.582542,144.0
31.59286,30.0
28.57445,48.0
31.57442,48.0
31.596102,6.0
31.386211,36.0
29.789509,36.0
29.789509,24.0
23.497772,32.0
26.541754,40.0
31.601639,16.0
29.789509,20.0
31.288477,30.0
31.526136,24.0
26.541754,32.0
19.677067,48.0
26.541754,12.0
31.386211,30.0
30.488083,48.0
31.136967,5.0
29.789509,48.0
29.789509,36.0
30.893702,27.0
30.893702,16.0
31.602648,24.0
31.495415,120.0
31.288477,32.0
23.497772,32.0
23.497772,30.0
31.5478,24.0
31.386211,36.0
31.451185,32.0
31.5478,30.0
31.288477,40.0
31.288477,20.0
31.526136,30.0
23.497772,24.0
30.893702,32.0
31.600294,36.0
31.386211,36.0
28.57445,36.0
15.7344055,36.0
26.541754,36.0
29.789509,42.0
19.677067,40.0
29.789509,35.0
23.497772,48.0
19.677067,32.0
31.602648,32.0
19.677067,108.0
31.582542,4.0
31.563272,16.0
30.488083,32.0
28.57445,48.0
26.541754,24.0
23.497772,32.0
31.386211,24.0
31.495415,4.0
31.604734,30.0
31.136967,44.0
28.57445,24.0
31.136967,24.0
31.601639,35.0
31.136967,18.0
31.526136,16.0
15.7344055,24.0
19.677067,32.0
31.588484,14.0
31.600294,40.0
31.57442,36.0
30.488083,25.0
31.57442,32.0
31.451185,6.0
31.136967,48.0
31.605793,32.0
31.605574,32.0
23.497772,32.0
31.386211,24.0
31.588484,24.0
19.677067,32.0
31.57442,16.0
26.541754,64.0
31.526136,48.0
26.541754,40.0
19.677067,24.0
28.57445,24.0
19.677067,48.0
23.497772,72.0
31.386211,48.0
31.451185,12.0
31.602648,32.0
31.5478,18.0
31.563272,54.0
28.57445,24.0
31.136967,18.0
31.136967,8.0
19.677067,24.0
19.677067,32.0
31.563272,8.0
26.541754,32.0
19.677067,18.0
19.677067,36.0
23.497772,12.0
31.495415,24.0
31.495415,48.0
31.600294,56.0
31.451185,30.0
31.386211,30.0
30.893702,36.0
19.677067,32.0
23.497772,32.0
29.789509,24.0
28.57445,36.0
30.893702,24.0
31.526136,32.0
30.893702,28.800001
31.526136,24.0
31.526136,26.0
23.497772,32.0
19.677067,24.0
31.526136,32.0
31.526136,48.0
30.488083,24.0
31.59286,18.0
31.596102,20.0
31.136967,36.0
28.57445,36.0
31.288477,24.0
31.60551,3.0
28.57445,40.0
31.5478,8.0
23.497772,32.0
28.57445,36.0
30.893702,48.0
30.488083,30.0
30.893702,24.0
31.451185,24.0
23.497772,18.0
19.677067,36.0
19.677067,32.0
29.789509,24.0
23.497772,40.0
15.7344055,24.0
23.497772,24.0
29.789509,48.0
31.605625,4.0
31.288477,8.0
31.495415,32.0
26.541754,30.0
29.789509,30.0
31.288477,36.0
29.789509,24.0
31.600294,48.0
30.488083,56.0
23.497772,48.0
23.497772,24.0
31.288477,32.0
29.789509,38.400002
30.488083,36.0
31.526136,48.0
31.59286,15.0
31.5478,4.0
30.488083,36.0
31.588484,37.5
31.563272,24.0
19.677067,30.0
28.57445,30.0
29.789509,36.0
31.582542,48.0
31.605425,25.0
31.288477,24.0
23.497772,32.0
19.677067,32.0
31.582542,48.0
23.497772,16.0
31.136967,40.0
30.893702,12.0
31.605425,16.0
19.677067,24.0
19.677067,24.0
31.600294,24.0
31.386211,24.0
23.497772,8.0
31.582542,30.101696
31.451185,24.0
19.677067,72.0
31.582542,16.0
30.488083,72.0
15.7344055,24.0
30.488083,35.0
28.57445,64.0
30.893702,48.0
31.136967,28.0
28.57445,40.0
31.526136,72.0
30.893702,30.0
31.136967,30.0
31.386211,36.0
19.677067,32.0
23.497772,32.0
31.5478,25.0
31.386211,40.0
29.789509,40.0
31.386211,30.0
31.582542,24.0
31.605795,32.0
26.541754,32.0
31.563272,36.0
31.495415,48.0
31.386211,32.0
19.677067,21.0
31.5478,36.0
31.495415,24.0
31.605732,12.0
31.605793,20.0
19.677067,48.0
31.451185,4.0
31.605791,40.0
31.59286,14.237288
29.789509,24.0
29.789509,24.0
31.563272,24.0
31.57442,24.0
31.563272,30.0
15.7344055,48.0
31.451185,16.0
28.57445,24.0
31.60566,48.0
31.5478,48.0
26.541754,35.0
31.598507,36.0
28.57445,48.0
15.7344055,40.0
