Column1,Column2
prediction_3,label_3
32.669273,36.0
31.311499,15.0
32.75194,40.0
32.75194,3.0
32.83893,30.0
32.876602,64.0
32.911198,36.0
32.893856,3.0
32.320114,24.0
32.91039,40.0
32.669273,30.0
32.861515,16.0
32.910103,36.0
20.033613,48.0
31.311499,32.0
24.666527,72.0
32.886837,56.0
24.666527,32.0
28.077763,24.0
28.077763,24.0
31.953415,28.800001
31.953415,30.0
32.75194,16.0
20.033613,36.0
10.837509,32.0
32.909206,25.0
32.804688,8.0
32.669273,48.0
32.861515,72.0
31.953415,40.0
32.537018,24.0
32.75194,24.0
32.886837,36.0
32.876602,21.0
30.153997,24.0
32.75194,40.0
31.953415,40.0
32.669273,24.0
31.953415,42.0
24.666527,48.0
28.077763,24.0
32.537018,30.0
32.898727,20.0
30.153997,48.0
32.75194,30.0
32.75194,32.0
32.861515,28.0
31.953415,36.0
32.910915,40.0
32.320114,30.0
32.876602,32.0
32.893856,24.0
31.953415,26.033897
32.906322,24.0
32.320114,36.0
28.077763,32.0
32.83893,24.0
20.033613,24.0
32.893856,32.0
32.893856,60.0
24.666527,48.0
32.876602,30.0
32.669273,40.0
24.666527,36.0
31.953415,32.0
32.906322,48.0
20.033613,48.0
32.83893,8.0
30.153997,27.428572
32.876602,16.0
15.100476,30.0
24.666527,24.0
32.876602,36.0
32.893856,12.0
32.906322,32.0
32.861515,43.200001
31.953415,30.0
28.077763,24.0
31.953415,32.0
24.666527,32.0
32.320114,18.0
32.910614,30.0
31.311499,20.0
20.033613,32.0
32.320114,64.0
32.804688,32.0
32.90458,36.0
28.077763,24.0
32.906322,8.0
31.311499,32.0
32.83893,3.0
30.153997,30.0
24.666527,16.0
31.311499,30.0
32.75194,24.0
32.537018,48.0
32.75194,48.0
32.886837,24.0
32.886837,36.0
30.153997,36.0
28.077763,32.0
31.311499,36.0
20.033613,32.0
32.669273,96.0
32.90458,24.0
32.669273,40.0
31.953415,24.0
32.320114,25.0
32.669273,18.0
31.953415,40.0
28.077763,32.0
32.90215,4.0
32.876602,12.0
24.666527,24.0
28.077763,24.0
30.153997,32.0
32.893856,30.0
32.876602,28.0
32.669273,32.0
32.911148,64.0
32.75194,48.0
32.898727,6.0
30.153997,36.0
28.077763,24.0
32.804688,19.200001
32.909714,40.0
28.077763,16.0
32.876602,32.0
32.90759,18.0
28.077763,20.0
20.033613,32.0
24.666527,16.0
24.666527,24.0
28.077763,30.0
31.953415,30.0
15.100476,25.0
32.906322,48.0
32.320114,24.0
24.666527,32.0
20.033613,72.0
32.75194,64.0
32.886837,36.0
32.537018,24.0
30.153997,36.0
32.91101,32.0
24.666527,24.0
24.666527,32.0
32.876602,30.0
32.669273,40.0
31.953415,24.0
15.100476,36.0
32.876602,8.0
32.90215,30.0
32.861515,24.0
30.153997,12.0
32.83893,32.0
32.876602,30.0
32.537018,24.0
24.666527,32.0
32.669273,22.0
28.077763,36.0
28.077763,40.0
32.91039,16.0
24.666527,24.0
30.153997,24.0
32.90458,44.57143
32.537018,32.0
31.953415,30.0
31.953415,24.0
24.666527,24.0
32.906322,24.0
32.537018,32.0
32.75194,24.0
28.077763,48.0
32.861515,32.0
32.537018,16.0
32.906322,40.0
24.666527,48.0
32.886837,30.0
28.077763,24.0
32.320114,64.0
32.804688,6.0
31.953415,24.0
15.100476,24.0
32.861515,40.0
32.911373,40.0
32.898727,28.800001
30.153997,30.0
32.898727,18.0
24.666527,24.0
30.153997,36.0
24.666527,32.0
32.83893,32.0
32.669273,20.0
30.153997,24.0
31.311499,32.0
28.077763,32.0
32.861515,48.0
32.83893,32.0
24.666527,16.0
31.311499,30.0
32.876602,24.0
31.953415,48.0
24.666527,48.0
32.893856,32.0
31.953415,30.0
32.669273,48.0
32.320114,36.0
32.90215,24.0
24.666527,32.0
32.909206,56.0
32.90458,20.0
31.311499,30.0
24.666527,24.0
24.666527,48.0
31.953415,20.0
32.910614,24.0
28.077763,56.0
32.90759,35.0
32.669273,42.0
20.033613,40.0
32.898727,28.0
31.311499,30.0
32.911263,36.0
31.311499,24.0
31.953415,24.0
30.153997,40.0
31.953415,32.0
32.320114,28.0
32.804688,20.0
31.953415,18.0
28.077763,36.0
32.90458,36.0
32.90458,48.0
28.077763,24.0
31.953415,36.0
24.666527,40.0
32.876602,4.0
20.033613,38.400002
24.666527,32.0
20.033613,24.0
32.75194,28.800001
32.909206,8.0
32.893856,24.0
32.537018,16.0
31.311499,24.0
32.75194,36.0
24.666527,36.0
32.75194,36.0
32.669273,32.0
32.906322,36.0
32.537018,20.0
32.669273,16.0
32.83893,40.0
32.910103,32.0
32.91132,18.0
32.861515,48.0
31.311499,40.0
24.666527,36.0
32.75194,2.0
32.91039,24.0
30.153997,36.0
32.804688,50.0
28.077763,24.0
28.077763,18.0
31.953415,24.0
32.91101,40.0
32.886837,20.0
32.876602,24.0
24.666527,48.0
32.75194,48.0
32.898727,24.0
31.953415,36.0
28.077763,24.0
32.90759,32.0
32.861515,24.0
20.033613,36.0
32.669273,42.0
32.861515,25.0
32.906322,17.0
32.876602,36.0
28.077763,24.0
32.898727,30.0
24.666527,32.0
31.311499,32.0
32.886837,25.0
31.311499,48.0
31.953415,30.0
32.861515,30.0
32.886837,8.0
24.666527,36.0
32.90852,56.0
24.666527,48.0
28.077763,16.0
10.837509,30.0
32.804688,36.0
32.876602,30.0
28.077763,24.0
30.153997,24.0
24.666527,36.0
30.153997,24.0
28.077763,32.0
32.537018,32.0
30.153997,40.0
30.153997,72.0
32.83893,24.0
32.320114,24.0
32.320114,36.0
32.804688,25.0
30.153997,24.0
32.83893,24.0
28.077763,24.0
32.90458,24.0
32.9113,12.0
32.909714,19.200001
32.906322,40.0
31.311499,48.0
32.90215,16.0
32.886837,12.0
32.861515,48.0
30.153997,36.0
31.311499,24.0
32.537018,40.0
31.311499,22.0
32.906322,12.0
30.153997,24.0
20.033613,30.0
32.876602,24.0
15.100476,30.0
28.077763,24.0
30.153997,24.0
32.804688,28.0
32.911373,36.0
28.077763,48.0
32.83893,16.0
32.320114,16.0
24.666527,24.0
32.91039,24.0
30.153997,24.0
24.666527,25.0
24.666527,24.0
31.311499,48.0
28.077763,48.0
24.666527,36.0
32.876602,64.0
32.906322,36.0
32.910103,32.0
28.077763,24.0
32.83893,40.0
32.893856,24.0
32.90215,144.0
32.906322,30.0
31.311499,48.0
32.898727,48.0
32.90759,6.0
32.804688,36.0
31.953415,36.0
31.953415,24.0
28.077763,32.0
30.153997,40.0
32.909714,16.0
31.953415,20.0
32.75194,30.0
32.876602,24.0
30.153997,32.0
24.666527,48.0
30.153997,12.0
32.804688,30.0
32.320114,48.0
32.669273,5.0
31.953415,48.0
31.953415,36.0
32.537018,27.0
32.537018,16.0
32.910103,24.0
32.861515,120.0
32.75194,32.0
28.077763,32.0
28.077763,30.0
32.886837,24.0
32.804688,36.0
32.83893,32.0
32.886837,30.0
32.75194,40.0
32.75194,20.0
32.876602,30.0
28.077763,24.0
32.537018,32.0
32.909206,36.0
32.804688,36.0
31.311499,36.0
20.033613,36.0
30.153997,36.0
31.953415,42.0
24.666527,40.0
31.953415,35.0
28.077763,48.0
24.666527,32.0
32.910103,32.0
24.666527,108.0
32.90215,4.0
32.893856,16.0
32.320114,32.0
31.311499,48.0
30.153997,24.0
28.077763,32.0
32.804688,24.0
32.861515,4.0
32.910915,30.0
32.669273,44.0
31.311499,24.0
32.669273,24.0
32.909714,35.0
32.669273,18.0
32.876602,16.0
20.033613,24.0
24.666527,32.0
32.90458,14.0
32.909206,40.0
32.898727,36.0
32.320114,25.0
32.898727,32.0
32.83893,6.0
32.669273,48.0
32.911373,32.0
32.911263,32.0
28.077763,32.0
32.804688,24.0
32.90458,24.0
24.666527,32.0
32.898727,16.0
30.153997,64.0
32.876602,48.0
30.153997,40.0
24.666527,24.0
31.311499,24.0
24.666527,48.0
28.077763,72.0
32.804688,48.0
32.83893,12.0
32.910103,32.0
32.886837,18.0
32.893856,54.0
31.311499,24.0
32.669273,18.0
32.669273,8.0
24.666527,24.0
24.666527,32.0
32.893856,8.0
30.153997,32.0
24.666527,18.0
24.666527,36.0
28.077763,12.0
32.861515,24.0
32.861515,48.0
32.909206,56.0
32.83893,30.0
32.804688,30.0
32.537018,36.0
24.666527,32.0
28.077763,32.0
31.953415,24.0
31.311499,36.0
32.537018,24.0
32.876602,32.0
32.537018,28.800001
32.876602,24.0
32.876602,26.0
28.077763,32.0
24.666527,24.0
32.876602,32.0
32.876602,48.0
32.320114,24.0
32.906322,18.0
32.90759,20.0
32.669273,36.0
31.311499,36.0
32.75194,24.0
32.911236,3.0
31.311499,40.0
32.886837,8.0
28.077763,32.0
31.311499,36.0
32.537018,48.0
32.320114,30.0
32.537018,24.0
32.83893,24.0
28.077763,18.0
24.666527,36.0
24.666527,32.0
31.953415,24.0
28.077763,40.0
20.033613,24.0
28.077763,24.0
31.953415,48.0
32.91128,4.0
32.75194,8.0
32.861515,32.0
30.153997,30.0
31.953415,30.0
32.75194,36.0
31.953415,24.0
32.909206,48.0
32.320114,56.0
28.077763,48.0
28.077763,24.0
32.75194,32.0
31.953415,38.400002
32.320114,36.0
