Column1,Column2
training_epoch,loss_value
1,2480.1097993027697
2,1617.5772561731048
3,1203.4676190316886
4,1024.2777552009577
5,941.0951309790241
6,909.1972883335177
7,882.0664418519887
8,854.7361552717507
9,845.7859575859791
10,824.3075779110204
11,792.7498341707391
12,779.7750151021928
13,764.095490150411
14,741.1932579537975
15,723.7009357075663
16,713.7135181269621
17,686.8263902498772
18,674.7436379327805
19,655.5585244362669
20,644.2572690358896
21,627.4384695311269
22,616.8588334796756
23,604.90690008758
24,585.1652316946365
25,572.2465555202598
26,564.2564561328559
27,550.8596240658749
28,549.8958397968995
29,526.051892928557
30,516.3700936594896
31,512.71682858841
32,496.62663917683676
33,484.8452645645917
34,467.84152345937736
35,458.9141249490632
36,458.0462124986449
37,445.45990055980633
38,433.6581644462111
39,433.1258189121387
40,432.21307304623843
41,415.7891314527736
42,408.7043644591248
43,405.3351732110125
44,407.1759277986806
45,386.1640793130517
46,383.2198214624523
47,379.6712351335131
48,364.5501695116011
49,365.6265113223321
50,355.09134427476573
51,359.27218058723406
52,353.95573119449847
53,342.57204625050963
54,344.5126886185275
55,335.653546833562
56,346.38048278822777
57,335.3401348467245
58,332.9553060356964
59,319.926280729186
60,321.07157972072804
61,326.54201786516796
62,313.66314383232645
63,315.95263629164583
64,301.0254331984074
65,301.61559289039053
66,309.1277328820372
67,293.8909648830946
68,299.81996029612435
69,292.23666148734367
70,295.8942228793584
71,293.7924634509576
72,286.9402332446345
73,294.85811139930627
74,287.5267645676065
75,282.1050792971608
76,285.6946722437144
77,278.94633963520783
78,275.40539731448337
79,276.3418474354605
80,274.7665939254582
81,271.4344686941977
82,274.8488915624585
83,271.75935822265194
84,273.80575588681427
85,268.72654257891645
86,269.35873790148776
87,275.6277487683494
88,274.5860712821176
89,274.77276516812805
90,276.1774398107434
91,264.7503758945313
92,263.4017539630837
93,275.5999266699396
94,265.97036640628426
95,271.91313411817765
96,274.02953463202783
97,274.398831506383
98,264.32980247515104
99,267.10606894231705
100,264.34283807896804
