Column1,Column2
prediction_3,label_3
33.778694,36.0
32.91798,15.0
33.8287,40.0
33.8287,3.0
33.880795,30.0
33.90305,64.0
33.922985,36.0
33.913074,3.0
33.564148,24.0
33.922497,40.0
33.778694,30.0
33.89417,16.0
33.92234,36.0
22.67808,48.0
32.91798,32.0
27.506002,72.0
33.90901,56.0
27.506002,32.0
30.541098,24.0
30.541098,24.0
33.333775,28.800001
33.333775,30.0
33.8287,16.0
22.67808,36.0
11.910568,32.0
33.921818,25.0
33.86037,8.0
33.778694,48.0
33.89417,72.0
33.333775,40.0
33.698006,24.0
33.8287,24.0
33.90901,36.0
33.90305,21.0
32.123825,24.0
33.8287,40.0
33.333775,40.0
33.778694,24.0
33.333775,42.0
27.506002,48.0
30.541098,24.0
33.698006,30.0
33.91587,20.0
32.123825,48.0
33.8287,30.0
33.8287,32.0
33.89417,28.0
33.333775,36.0
33.922802,40.0
33.564148,30.0
33.90305,32.0
33.913074,24.0
33.333775,26.033897
33.920193,24.0
33.564148,36.0
30.541098,32.0
33.880795,24.0
22.67808,24.0
33.913074,32.0
33.913074,60.0
27.506002,48.0
33.90305,30.0
33.778694,40.0
27.506002,36.0
33.333775,32.0
33.920193,48.0
22.67808,48.0
33.880795,8.0
32.123825,27.428572
33.90305,16.0
16.980095,30.0
27.506002,24.0
33.90305,36.0
33.913074,12.0
33.920193,32.0
33.89417,43.200001
33.333775,30.0
30.541098,24.0
33.333775,32.0
27.506002,32.0
33.564148,18.0
33.92263,30.0
32.91798,20.0
22.67808,32.0
33.564148,64.0
33.86037,32.0
33.91921,36.0
30.541098,24.0
33.920193,8.0
32.91798,32.0
33.880795,3.0
32.123825,30.0
27.506002,16.0
32.91798,30.0
33.8287,24.0
33.698006,48.0
33.8287,48.0
33.90901,24.0
33.90901,36.0
32.123825,36.0
30.541098,32.0
32.91798,36.0
22.67808,32.0
33.778694,96.0
33.91921,24.0
33.778694,40.0
33.333775,24.0
33.564148,25.0
33.778694,18.0
33.333775,40.0
30.541098,32.0
33.917824,4.0
33.90305,12.0
27.506002,24.0
30.541098,24.0
32.123825,32.0
33.913074,30.0
33.90305,28.0
33.778694,32.0
33.922955,64.0
33.8287,48.0
33.91587,6.0
32.123825,36.0
30.541098,24.0
33.86037,19.200001
33.92211,40.0
30.541098,16.0
33.90305,32.0
33.920902,18.0
30.541098,20.0
22.67808,32.0
27.506002,16.0
27.506002,24.0
30.541098,30.0
33.333775,30.0
16.980095,25.0
33.920193,48.0
33.564148,24.0
27.506002,32.0
22.67808,72.0
33.8287,64.0
33.90901,36.0
33.698006,24.0
32.123825,36.0
33.92287,32.0
27.506002,24.0
27.506002,32.0
33.90305,30.0
33.778694,40.0
33.333775,24.0
16.980095,36.0
33.90305,8.0
33.917824,30.0
33.89417,24.0
32.123825,12.0
33.880795,32.0
33.90305,30.0
33.698006,24.0
27.506002,32.0
33.778694,22.0
30.541098,36.0
30.541098,40.0
33.922497,16.0
27.506002,24.0
32.123825,24.0
33.91921,44.57143
33.698006,32.0
33.333775,30.0
33.333775,24.0
27.506002,24.0
33.920193,24.0
33.698006,32.0
33.8287,24.0
30.541098,48.0
33.89417,32.0
33.698006,16.0
33.920193,40.0
27.506002,48.0
33.90901,30.0
30.541098,24.0
33.564148,64.0
33.86037,6.0
33.333775,24.0
16.980095,24.0
33.89417,40.0
33.923134,40.0
33.91587,28.800001
32.123825,30.0
33.91587,18.0
27.506002,24.0
32.123825,36.0
27.506002,32.0
33.880795,32.0
33.778694,20.0
32.123825,24.0
32.91798,32.0
30.541098,32.0
33.89417,48.0
33.880795,32.0
27.506002,16.0
32.91798,30.0
33.90305,24.0
33.333775,48.0
27.506002,48.0
33.913074,32.0
33.333775,30.0
33.778694,48.0
33.564148,36.0
33.917824,24.0
27.506002,32.0
33.921818,56.0
33.91921,20.0
32.91798,30.0
27.506002,24.0
27.506002,48.0
33.333775,20.0
33.92263,24.0
30.541098,56.0
33.920902,35.0
33.778694,42.0
22.67808,40.0
33.91587,28.0
32.91798,30.0
33.92304,36.0
32.91798,24.0
33.333775,24.0
32.123825,40.0
33.333775,32.0
33.564148,28.0
33.86037,20.0
33.333775,18.0
30.541098,36.0
33.91921,36.0
33.91921,48.0
30.541098,24.0
33.333775,36.0
27.506002,40.0
33.90305,4.0
22.67808,38.400002
27.506002,32.0
22.67808,24.0
33.8287,28.800001
33.921818,8.0
33.913074,24.0
33.698006,16.0
32.91798,24.0
33.8287,36.0
27.506002,36.0
33.8287,36.0
33.778694,32.0
33.920193,36.0
33.698006,20.0
33.778694,16.0
33.880795,40.0
33.92234,32.0
33.923077,18.0
33.89417,48.0
32.91798,40.0
27.506002,36.0
33.8287,2.0
33.922497,24.0
32.123825,36.0
33.86037,50.0
30.541098,24.0
30.541098,18.0
33.333775,24.0
33.92287,40.0
33.90901,20.0
33.90305,24.0
27.506002,48.0
33.8287,48.0
33.91587,24.0
33.333775,36.0
30.541098,24.0
33.920902,32.0
33.89417,24.0
22.67808,36.0
33.778694,42.0
33.89417,25.0
33.920193,17.0
33.90305,36.0
30.541098,24.0
33.91587,30.0
27.506002,32.0
32.91798,32.0
33.90901,25.0
32.91798,48.0
33.333775,30.0
33.89417,30.0
33.90901,8.0
27.506002,36.0
33.92143,56.0
27.506002,48.0
30.541098,16.0
11.910568,30.0
33.86037,36.0
33.90305,30.0
30.541098,24.0
32.123825,24.0
27.506002,36.0
32.123825,24.0
30.541098,32.0
33.698006,32.0
32.123825,40.0
32.123825,72.0
33.880795,24.0
33.564148,24.0
33.564148,36.0
33.86037,25.0
32.123825,24.0
33.880795,24.0
30.541098,24.0
33.91921,24.0
33.92307,12.0
33.92211,19.200001
33.920193,40.0
32.91798,48.0
33.917824,16.0
33.90901,12.0
33.89417,48.0
32.123825,36.0
32.91798,24.0
33.698006,40.0
32.91798,22.0
33.920193,12.0
32.123825,24.0
22.67808,30.0
33.90305,24.0
16.980095,30.0
30.541098,24.0
32.123825,24.0
33.86037,28.0
33.923134,36.0
30.541098,48.0
33.880795,16.0
33.564148,16.0
27.506002,24.0
33.922497,24.0
32.123825,24.0
27.506002,25.0
27.506002,24.0
32.91798,48.0
30.541098,48.0
27.506002,36.0
33.90305,64.0
33.920193,36.0
33.92234,32.0
30.541098,24.0
33.880795,40.0
33.913074,24.0
33.917824,144.0
33.920193,30.0
32.91798,48.0
33.91587,48.0
33.920902,6.0
33.86037,36.0
33.333775,36.0
33.333775,24.0
30.541098,32.0
32.123825,40.0
33.92211,16.0
33.333775,20.0
33.8287,30.0
33.90305,24.0
32.123825,32.0
27.506002,48.0
32.123825,12.0
33.86037,30.0
33.564148,48.0
33.778694,5.0
33.333775,48.0
33.333775,36.0
33.698006,27.0
33.698006,16.0
33.92234,24.0
33.89417,120.0
33.8287,32.0
30.541098,32.0
30.541098,30.0
33.90901,24.0
33.86037,36.0
33.880795,32.0
33.90901,30.0
33.8287,40.0
33.8287,20.0
33.90305,30.0
30.541098,24.0
33.698006,32.0
33.921818,36.0
33.86037,36.0
32.91798,36.0
22.67808,36.0
32.123825,36.0
33.333775,42.0
27.506002,40.0
33.333775,35.0
30.541098,48.0
27.506002,32.0
33.92234,32.0
27.506002,108.0
33.917824,4.0
33.913074,16.0
33.564148,32.0
32.91798,48.0
32.123825,24.0
30.541098,32.0
33.86037,24.0
33.89417,4.0
33.922802,30.0
33.778694,44.0
32.91798,24.0
33.778694,24.0
33.92211,35.0
33.778694,18.0
33.90305,16.0
22.67808,24.0
27.506002,32.0
33.91921,14.0
33.921818,40.0
33.91587,36.0
33.564148,25.0
33.91587,32.0
33.880795,6.0
33.778694,48.0
33.923134,32.0
33.92304,32.0
30.541098,32.0
