Column1,Column2
training_epoch,loss_value
1,700.174560546875
2,660.4969482421875
3,658.8837890625
4,650.0731811523438
5,643.7986450195312
6,650.6596069335938
7,652.9658203125
8,652.4391479492188
9,658.2520751953125
10,641.5895385742188
11,637.9915161132812
12,643.0912475585938
13,643.0629272460938
14,649.8947143554688
15,663.2302856445312
16,648.2250366210938
17,636.142333984375
18,653.1461181640625
19,653.3510131835938
20,657.2682495117188
21,644.5718383789062
22,647.2601928710938
23,649.078125
24,667.7880859375
25,640.5704956054688
26,642.0441284179688
27,647.8220825195312
28,638.81005859375
29,635.7484130859375
30,646.2991333007812
31,636.0808715820312
32,653.5896606445312
33,635.14013671875
34,662.7503662109375
35,647.8579711914062
36,645.3920288085938
37,650.4871215820312
38,646.0354614257812
39,657.9567260742188
40,645.6450805664062
41,638.0707397460938
42,647.8128051757812
43,639.1922607421875
44,647.3612060546875
45,637.4732666015625
46,646.4078979492188
47,633.5817260742188
48,645.5439453125
49,648.4078369140625
50,641.9364013671875
51,639.2647094726562
52,636.7996826171875
53,634.3004760742188
54,634.4744262695312
55,641.224609375
56,632.9735107421875
57,629.0098876953125
58,641.4279174804688
59,648.1011962890625
60,631.739501953125
61,636.0684204101562
62,640.6022338867188
63,630.6691284179688
64,642.6143188476562
65,626.0838012695312
66,627.5344848632812
67,643.9549560546875
68,634.2958984375
69,641.9439086914062
70,628.52294921875
71,632.3804321289062
72,637.8626708984375
73,640.08349609375
74,627.1423950195312
75,634.968505859375
76,637.7466430664062
77,634.1331787109375
78,636.8865966796875
79,627.444091796875
80,629.6163940429688
81,635.0684814453125
82,631.7645874023438
83,626.7670288085938
84,628.0045166015625
85,639.3707275390625
86,627.0306396484375
87,645.1825561523438
88,625.9508666992188
89,622.8672485351562
90,631.0521850585938
91,651.8303833007812
92,627.7145385742188
93,631.9703369140625
94,628.450927734375
95,627.1666259765625
96,632.746826171875
97,625.7626953125
98,634.2138671875
99,627.6278686523438
100,629.3363037109375
